goalie_id,goalie_name,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8480280,Jeremy Swayman,6000,550.1983,411,139.1983,128.4907,0.9254,2025-12-15 10:13:14.910556
8480313,Logan Thompson,584,38.7491,33,5.7491,3.0973,0.9254,2025-12-15 10:13:14.910556
8480313,Logan Thompson,4803,434.5125,300,134.5125,121.8298,0.9254,2025-12-15 10:13:14.910556
8480382,Alexandar Georgiev,851,60.9202,73,-12.0798,-7.6091,0.9254,2025-12-15 10:13:14.910556
8480382,Alexandar Georgiev,3888,391.6599,350,41.6599,36.9129,0.9254,2025-12-15 10:13:14.910556
8480819,Jakub Skarek,6,0.6575,3,-2.3425,-0.0278,0.9254,2025-12-15 10:13:14.910556
8480843,Lukas Dostal,603,41.3338,50,-8.6662,-4.7377,0.9254,2025-12-15 10:13:14.910556
8480843,Lukas Dostal,4393,395.0587,333,62.0587,55.7171,0.9254,2025-12-15 10:13:14.910556
8480885,Olivier Rodrigue,32,3.0924,2,1.0924,0.0657,0.9254,2025-12-15 10:13:14.910556
8480947,Kevin Lankinen,258,21.5596,21,0.5596,0.1905,0.9254,2025-12-15 10:13:14.910556
8480947,Kevin Lankinen,3092,293.7295,248,45.7295,39.3641,0.9254,2025-12-15 10:13:14.910556
8480981,Joel Hofer,405,26.5589,17,9.5589,4.2777,0.9254,2025-12-15 10:13:14.910556
8480981,Joel Hofer,2194,196.2518,165,31.2518,25.4515,0.9254,2025-12-15 10:13:14.910556
8480992,Magnus Chrona,46,5.0637,8,-2.9363,-0.2474,0.9254,2025-12-15 10:13:14.910556
8480992,Magnus Chrona,407,40.3659,42,-1.6341,-0.7333,0.9254,2025-12-15 10:13:14.910556
8481020,Justus Annunen,45,3.2836,2,1.2836,0.106,0.9254,2025-12-15 10:13:14.910556
8481020,Justus Annunen,1914,182.1775,174,8.1775,6.4838,0.9254,2025-12-15 10:13:14.910556
8481031,Ivan Prosvetov,364,24.1254,24,0.1254,0.0528,0.9254,2025-12-15 10:13:14.910556
8481031,Ivan Prosvetov,125,13.0613,12,1.0613,0.2123,0.9254,2025-12-15 10:13:14.910556
8481033,Akira Schmid,251,17.8444,23,-5.1556,-1.7231,0.9254,2025-12-15 10:13:14.910556
8481033,Akira Schmid,1172,91.7232,69,22.7232,15.928,0.9254,2025-12-15 10:13:14.910556
8481035,Samuel Ersson,369,23.3981,14,9.3981,3.9907,0.9254,2025-12-15 10:13:14.910556
8481035,Samuel Ersson,3696,348.9982,306,42.9982,37.8744,0.9254,2025-12-15 10:13:14.910556
8481519,Spencer Knight,2210,191.411,138,53.411,43.5566,0.9254,2025-12-15 10:13:14.910556
8481529,Trent Miner,110,7.72,10,-2.28,-0.4112,0.9254,2025-12-15 10:13:14.910556
8481544,Mads Sogaard,51,3.1476,6,-2.8524,-0.264,0.9254,2025-12-15 10:13:14.910556
8481544,Mads Sogaard,211,20.7981,22,-1.2019,-0.3567,0.9254,2025-12-15 10:13:14.910556
8481551,,485,34.6034,40,-5.3966,-2.6572,0.9254,2025-12-15 10:13:14.910556
8481611,Pyotr Kochetkov,445,26.8753,45,-18.1247,-8.5349,0.9254,2025-12-15 10:13:14.910556
8481611,Pyotr Kochetkov,2951,286.4375,236,50.4375,43.1299,0.9254,2025-12-15 10:13:14.910556
8481668,Arturs Silovs,1521,126.222,123,3.222,2.4248,0.9254,2025-12-15 10:13:14.910556
8481692,Dustin Wolf,102,7.2648,8,-0.7352,-0.1246,0.9254,2025-12-15 10:13:14.910556
8481692,Dustin Wolf,3449,286.8025,258,28.8025,25.1556,0.9254,2025-12-15 10:13:14.910556
8481707,Erik Portillo,42,4.2512,1,3.2512,0.2519,0.9254,2025-12-15 10:13:14.910556
8482076,Nico Daws,1012,103.4083,62,41.4083,27.7151,0.9254,2025-12-15 10:13:14.910556
8482123,Drew Commesso,39,3.8916,4,-0.1084,-0.0078,0.9254,2025-12-15 10:13:14.910556
8482137,,16,1.4004,1,0.4004,0.0124,0.9254,2025-12-15 10:13:14.910556
8482137,Yaroslav Askarov,1135,99.873,69,30.873,21.4317,0.9254,2025-12-15 10:13:14.910556
8482221,Devon Levi,550,43.0446,48,-4.9554,-2.5957,0.9254,2025-12-15 10:13:14.910556
8482221,Devon Levi,1102,110.4322,102,8.4322,5.8004,0.9254,2025-12-15 10:13:14.910556
8482411,Hunter Shepard,52,4.4485,8,-3.5515,-0.3346,0.9254,2025-12-15 10:13:14.910556
8482411,Hunter Shepard,198,19.8696,12,7.8696,2.2323,0.9254,2025-12-15 10:13:14.910556
8482445,Devin Cooley,535,41.5079,38,3.5079,1.8133,0.9254,2025-12-15 10:13:14.910556
8482446,Joel Blomqvist,417,37.5376,29,8.5376,3.8824,0.9254,2025-12-15 10:13:14.910556
8482447,Leevi Merilainen,574,51.6368,45,6.6368,3.547,0.9254,2025-12-15 10:13:14.910556
8482487,Jakub Dobes,1347,103.338,87,16.338,11.9151,0.9254,2025-12-15 10:13:14.910556
8482657,Sebastian Cossa,40,4.6677,4,0.6677,0.0495,0.9254,2025-12-15 10:13:14.910556
8482661,Jesper Wallstedt,883,59.8742,57,2.8742,1.8351,0.9254,2025-12-15 10:13:14.910556
8482668,Tristan Lennox,1,0.0332,1,-0.9668,-0.0019,0.9254,2025-12-15 10:13:14.910556
8482761,,248,18.7314,22,-3.2686,-1.0837,0.9254,2025-12-15 10:13:14.910556
8482783,Aleksei Kolosov,565,49.7742,44,5.7742,3.0633,0.9254,2025-12-15 10:13:14.910556
8482821,Arvid Soderblom,467,36.6381,41,-4.3619,-2.1065,0.9254,2025-12-15 10:13:14.910556
8482821,Arvid Soderblom,2308,210.5276,204,6.5276,5.3653,0.9254,2025-12-15 10:13:14.910556
8482982,Jet Greaves,1503,124.3402,87,37.3402,28.0192,0.9254,2025-12-15 10:13:14.910556
8483114,,100,6.1688,8,-1.8312,-0.3052,0.9254,2025-12-15 10:13:14.910556
8483530,Jaxson Stauber,358,35.4525,25,10.4525,4.3613,0.9254,2025-12-15 10:13:14.910556
8483532,Clay Stevenson,41,4.0559,5,-0.9441,-0.0715,0.9254,2025-12-15 10:13:14.910556
8483548,,436,33.2542,23,10.2542,4.7765,0.9254,2025-12-15 10:13:14.910556
8483703,,118,8.1997,5,3.1997,0.6109,0.9254,2025-12-15 10:13:14.910556
8483710,Dennis Hildeby,626,48.3531,34,14.3531,7.9796,0.9254,2025-12-15 10:13:14.910556
8483746,,19,1.0731,3,-1.9269,-0.0705,0.9254,2025-12-15 10:13:14.910556
8484268,Nikita Tolopilo,416,32.0652,24,8.0652,3.6628,0.9254,2025-12-15 10:13:14.910556
8484293,Yaniv Perets,11,1.1642,1,0.1642,0.0035,0.9254,2025-12-15 10:13:14.910556
8484312,Georgi Romanov,232,23.051,20,3.051,0.967,0.9254,2025-12-15 10:13:14.910556
