player_id,situation,on_ice_xgf,on_ice_xga,shots_for_count,shots_against_count
8475167,5v5,0.46860266476869583,0.26673742569983006,5,7
8475170,5v5,0.26412775786593556,0.117714773863554,3,3
8475170,PK,0.0174864511936903,0.1622491329908371,1,1
8475177,5v5,0.4403300993144512,0.08116264641284943,7,1
8475179,5v5,0.263314862494842,0.0570368729531765,4,2
8475179,PK,0.0,0.20584611993295412,0,2
8475179,PP,0.014414505164169481,0.0,1,0
8475188,5v5,0.07943755760788918,0.26412775786593556,2,3
8475188,PK,0.1622491329908371,0.0174864511936903,1,1
8475200,5v5,0.6141971498727798,0.7975637330673635,8,8
8475208,5v5,0.8216154229230825,0.9241200593142184,13,16
8475208,PK,0.35882108012269864,0.12466656617763283,5,3
8475220,5v5,0.565343227237463,0.45189908519387245,6,8
8475231,5v5,0.5931846890598536,0.0,4,0
8475231,PK,0.0,0.31534984707832336,0,2
8475231,PP,0.12336621433496475,0.0,1,0
8475311,5v5,1.2255297416731294,1.3255432108282676,17,23
8475311,PK,0.20309896671019015,0.4323837832960205,4,6
8475314,5v5,0.9112268406897783,0.25969422422349453,7,2
8475314,PK,0.0,0.31534984707832336,0,2
8475314,PP,0.12336621433496475,0.0,1,0
8475683,5v5,1.2185531200228819,1.3059900943482323,17,27
8475683,PK,0.41575297266699646,0.22537613145369959,5,3
8475683,PP,0.2362634549541704,0.0,2,0
8475690,5v5,0.08359428588300943,0.0,2,0
8475692,5v5,0.037964411079883575,0.09624679386615753,1,1
8475692,PK,0.19436390325427055,0.0,3,0
8475745,5v5,0.41872309148311615,0.0,3,0
8475745,PK,0.0,0.5011939667165279,0,3
8475750,5v5,0.26932064443826675,0.011568985879421234,2,1
8475753,5v5,0.0019089248962700367,0.21420381404459476,1,3
8475753,PK,0.0174864511936903,0.0,1,0
8475754,5v5,1.1553301698781853,0.52710341176469,15,9
8475754,PK,0.12466656617763283,0.5694382278609016,3,5
8475754,PP,0.12336621433496475,0.0,1,0
8475760,5v5,0.07361486554145813,0.41607544012367725,2,6
8475760,PK,0.0033138105645775795,0.0,1,0
8475763,5v5,0.43152734637260437,0.1873467182740569,4,3
8475764,5v5,0.38344041258096695,0.6402489971369505,3,5
8475768,5v5,0.14623968908563256,0.09437188506126404,4,1
8475768,PK,0.07517112046480179,0.0,1,0
8475791,5v5,0.10176056995987892,0.03713523969054222,2,3
8475791,PK,0.04898812994360924,0.0,1,0
8475798,5v5,0.2234720573760569,0.43610056675970554,3,4
8475798,PK,0.5011939667165279,0.0,3,0
8475799,5v5,0.38398746724124067,0.008532080799341202,6,1
8475799,PK,0.0,0.0033138105645775795,0,1
8475809,5v5,0.3267623907816805,1.9828183548822325,5,34
8475809,PK,0.4109701724751638,0.45718734749276835,5,7
8475810,5v5,0.046005854383111,0.0,2,0
8475810,PP,0.0012379360850900412,0.0,1,0
8475842,5v5,0.7153894024513497,0.885242072920811,14,9
8475842,PK,0.13499907779781897,0.0,2,0
8475852,5v5,0.7478695525787771,2.0498193744570017,8,23
8475852,PK,0.04898812994360924,0.0,1,0
8475883,5v5,0.8780171014368534,0.9081552638672292,9,10
8475883,PK,0.0,0.04898812994360924,0,1
8475913,5v5,0.760273989289999,0.38344041258096695,6,3
8476312,5v5,0.514080557506631,1.0640865664196373,11,14
8476312,PK,0.4916622923715757,0.20309896671019015,6,4
8476331,5v5,0.3836932722479105,0.008532080799341202,5,1
8476374,5v5,0.7214120682328939,0.0,4,0
8476389,5v5,0.4158318316860129,1.5175794665981535,8,19
8476392,5v5,0.38836774602532387,0.07361486554145813,6,2
8476412,5v5,0.6475681704469025,1.6673173382878304,6,21
8476412,PK,0.0174864511936903,0.1622491329908371,1,1
8476419,5v5,0.1451958790421486,0.25969422422349453,2,2
8476419,PK,0.0003524911589920521,0.0,1,0
8476429,5v5,0.17284627258777618,0.25969422422349453,1,2
8476429,PK,0.0003524911589920521,0.0,1,0
8476438,5v5,0.3028845493681729,0.1951395832002163,5,4
8476438,PK,0.0174864511936903,0.1622491329908371,1,1
8476441,5v5,0.7025211314585568,0.8108361600766698,15,14
